Unnamed: 0,id,forum,s_name,s_area_name,post_time,title,author,content,page_url,content_type,date,label_day1,label_day2,label_day3,label_day4,label_day5,content_cleaned
0,1646156058443_F0DCU,forum,校園聊天-Dcard,股票,2022-03-01 14:00:35,#其他 連續當沖兩百天計畫-第一週心得 長榮航,菜鳥工程師ammmmmmy/F,可以教學嗎,https://www.dcard.tw/f/stock/p/238213282,reply,2022-03-01,-1.0,1.0,-1.0,0.0,0.0,教學
1,1646117483202_F02_dcard,forum,校園聊天-Dcard,股票,2022-03-01 14:42:22,#請益 長榮(2603)該不該參加除息,銘傳大學/M,"大家安安我奈米小韭菜啦

是這樣的

今天長榮又重新站上150大關了

小弟我剛好有一張成本70的長榮

就在想

長榮今年獲利應該不會比去年更高

除息也不知道能不能填息

是不是要趁現在賣掉獲利

還是說就放著領股息



小弟我實在不知道該怎麼做比較好

於是就想來問看看大家

如果你們有一張抱很久的長榮 是會留還是賣呢

謝謝大家",https://www.dcard.tw/f/stock/p/238241411,main,2022-03-01,-1.0,1.0,-1.0,0.0,0.0,"奈米 韭菜 這樣 站上 大關 小弟 成本 獲利 高

 除息 知道 填息 賣掉 獲利 股息



 小弟 知道 謝謝"
2,1646175583672_F0DCU,forum,校園聊天-Dcard,股票,2022-03-01 14:43:22,#請益 長榮(2603)該不該參加除息,國立臺北科技大學/M,我是你就賣,https://www.dcard.tw/f/stock/p/238241411,reply,2022-03-01,-1.0,1.0,-1.0,0.0,0.0,
3,1646156058478_F0DCU,forum,校園聊天-Dcard,股票,2022-03-01 14:52:27,#其他 連續當沖兩百天計畫-第一週心得 長榮航,Dcard 大聲公dcardbigmac/D,"通報 📢
好像有人對這篇文章有新想法唷，快來去看看！
 https://www.dcard.tw/f/stock/p/238241495",https://www.dcard.tw/f/stock/p/238213282,reply,2022-03-01,-1.0,1.0,-1.0,0.0,0.0,通報 文章 想法 來去 看看
4,1646175583693_F0DCU,forum,校園聊天-Dcard,股票,2022-03-01 15:06:53,#請益 長榮(2603)該不該參加除息,國立政治大學/M,"除非你除息稅要被抽很多
不然除息前後賣根本沒差
隨時看跌想賣就賣",https://www.dcard.tw/f/stock/p/238241411,reply,2022-03-01,-1.0,1.0,-1.0,0.0,0.0,"除息稅 除息 差
 看跌"
5,1646175583713_F0DCU,forum,校園聊天-Dcard,股票,2022-03-01 15:14:47,#請益 長榮(2603)該不該參加除息,國立臺中科技大學/M,幾十年一次的機會你不賣就準備看他回兩位數,https://www.dcard.tw/f/stock/p/238241411,reply,2022-03-01,-1.0,1.0,-1.0,0.0,0.0,機會 準備 位數
6,1646175583732_F0DCU,forum,校園聊天-Dcard,股票,2022-03-01 15:35:19,#請益 長榮(2603)該不該參加除息,一個把留言刪除的同學,已經刪除的內容就像 Dcard 一樣，錯過是無法再相見的！,https://www.dcard.tw/f/stock/p/238241411,reply,2022-03-01,-1.0,1.0,-1.0,0.0,0.0,刪除 內容 一樣 錯過 相見
7,1646175583785_F0DCU,forum,校園聊天-Dcard,股票,2022-03-01 15:43:51,#請益 長榮(2603)該不該參加除息,佩佩貓monkey_frank/M,"之前我有文章分析過長榮的基本面預測，你可以參考看看

https://www.dcard.tw/f/stock/p/237884225",https://www.dcard.tw/f/stock/p/238241411,reply,2022-03-01,-1.0,1.0,-1.0,0.0,0.0,文章 分析 基本面 預測 參考
8,1646175583798_F0DCU,forum,校園聊天-Dcard,股票,2022-03-01 18:26:42,#請益 長榮(2603)該不該參加除息,躺著也中槍kingbaby/M,高歌離席～,https://www.dcard.tw/f/stock/p/238241411,reply,2022-03-01,-1.0,1.0,-1.0,0.0,0.0,高歌 離席
9,1646175583827_F0DCU,forum,校園聊天-Dcard,股票,2022-03-01 18:42:59,#請益 長榮(2603)該不該參加除息,國立政治大學/M,70的就參加阿,https://www.dcard.tw/f/stock/p/238241411,reply,2022-03-01,-1.0,1.0,-1.0,0.0,0.0,參加
10,1646175583869_F0DCU,forum,校園聊天-Dcard,股票,2022-03-01 19:07:48,#請益 長榮(2603)該不該參加除息,國立中正大學/M,成本 70 在問個什麼勁的？,https://www.dcard.tw/f/stock/p/238241411,reply,2022-03-01,-1.0,1.0,-1.0,0.0,0.0,成本
11,1646175583879_F0DCU,forum,校園聊天-Dcard,股票,2022-03-01 20:51:52,#請益 長榮(2603)該不該參加除息,國立高雄應用科技大學/M,"留啊 隨時關注航運的報價和營收
一月營收還是很好，準備看2月營收公布",https://www.dcard.tw/f/stock/p/238241411,reply,2022-03-01,-1.0,1.0,-1.0,0.0,0.0,關注 航運 報價 營收 營收 準備 營收 公布
12,1646175583892_F0DCU,forum,校園聊天-Dcard,股票,2022-03-01 21:11:30,#請益 長榮(2603)該不該參加除息,嘉南藥理大學/M,痾有沒有除權息根本沒差啊,https://www.dcard.tw/f/stock/p/238241411,reply,2022-03-01,-1.0,1.0,-1.0,0.0,0.0,權息
13,1646175583905_F0DCU,forum,校園聊天-Dcard,股票,2022-03-01 23:27:41,#請益 長榮(2603)該不該參加除息,一個把留言刪除的同學,已經刪除的內容就像 Dcard 一樣，錯過是無法再相見的！,https://www.dcard.tw/f/stock/p/238241411,reply,2022-03-01,-1.0,1.0,-1.0,0.0,0.0,刪除 內容 一樣 錯過 相見
14,1646175583915_F0DCU,forum,校園聊天-Dcard,股票,2022-03-01 23:49:32,#請益 長榮(2603)該不該參加除息,國立臺灣大學/M,我是你我今年會持續大膽加碼,https://www.dcard.tw/f/stock/p/238241411,reply,2022-03-01,-1.0,1.0,-1.0,0.0,0.0,你我 持續 大膽 加碼
15,1646175583923_F0DCU,forum,校園聊天-Dcard,股票,2022-03-02 04:16:48,#請益 長榮(2603)該不該參加除息,孤舟b9022011/M,"如果是我會比較傾向賣掉吧，畢竟這是疫情以來的結果，沒實現的收益都不算收益啊
真的想領股息還不如賣掉去找殖利率更高的標的",https://www.dcard.tw/f/stock/p/238241411,reply,2022-03-02,1.0,-1.0,0.0,0.0,0.0,傾向 賣掉 疫情 結果 實現 收益 收益 股息 賣掉去 殖利率 標的
16,1646231527372_F0DCU,forum,校園聊天-Dcard,股票,2022-03-02 19:09:12,#請益 長榮(2603)該不該參加除息,輔仁大學/M,不會比去年更高？？今年eps估60欸,https://www.dcard.tw/f/stock/p/238241411,reply,2022-03-02,1.0,-1.0,0.0,0.0,0.0,
17,1646288750841_F02_dcard,forum,校園聊天-Dcard,股票,2022-03-03 14:04:25,#標的 長榮(2603) 多 - 停利提醒,佩佩貓monkey_frank/M,"不知不覺已經到了停利目標區間的160～168，因此今天開始做了部分波段倉位的停利動作，預計到168會全數停利出場。

而有些人若不想嘗試摸頭，可以用收盤是否在十日線之上作為停利標準，這也是很好的方法之一，因為擇時交易實際上是時間成本非常高的操作策略。

長榮此檔我還有保持極長期操作的倉位，如原文所提直到停止操作的條件達成後才會完全停下。

而最近我要開始寫一些個人使用的股票研究報告，所以暫時不會再出來發文的，此次年前會發文只是因為發現很多持有長榮的投資者們充滿絕望，才決定要分享出來的，若往後有哪檔股票我有操作，而很多人感到手足無措時，我就會再出來分享的。

祝各位在股市可以兼顧身心健康與賺大錢呀。
https://sticker-assets.dcard.tw/images/6e90e74b-b23a-4ba5-a386-0dc417aadd2c/orig.png",https://www.dcard.tw/f/stock/p/238260167,main,2022-03-03,-1.0,0.0,0.0,0.0,0.0,停利 目標 區間 開始 波段 倉位 停利 動作 預計 停利 出場 嘗試 摸頭 收盤 十日線 作為 停利 標準 方法 擇時 交易 實際 時間 成本 操作 策略 保持 長期 操作 倉位 原文 停止 操作 條件 達成 停下 開始 使用 股票 研究 報告 出來 發文 發文 發現 持有 投資 充滿 絕望 決定 分享出來 股票 操作 感到 手足無措 出來 分享 兼顧 身心健康 大錢
18,1646354724097_F0DCU,forum,校園聊天-Dcard,股票,2022-03-03 14:11:23,#標的 長榮(2603) 多 - 停利提醒,中國科技大學/F,"別這樣啦
我從去年7月買240
同月攤到220
同月再攤到170
接著就繼續跌 我也不買了
現在終於有機會破170了
再陪我一下啦🥲🥲

170我馬上賣
絕對不再跟風買長榮惹嗚嗚",https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-03,-1.0,0.0,0.0,0.0,0.0,"這樣 啦
 攤到 繼續 機會"
19,1646354724111_F0DCU,forum,校園聊天-Dcard,股票,2022-03-03 14:12:11,#標的 長榮(2603) 多 - 停利提醒,不知道要取什麼？_？a2003b40501/M,"長榮會到200嗎😭
之前原本買147 後來賣掉146想說等低檔接回
結果那天就噴到150了最近找不到時機買 好難過",https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-03,-1.0,0.0,0.0,0.0,0.0,賣掉 想說 低檔 接回 噴到 時機 難過
20,1646354724129_F0DCU,forum,校園聊天-Dcard,股票,2022-03-03 14:14:35,#標的 長榮(2603) 多 - 停利提醒,中華醫事科技大學/F,投信續買，收在五日線上，還會停利嗎？,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-03,-1.0,0.0,0.0,0.0,0.0,投信續 五日線 停利
21,1646354724139_F0DCU,forum,校園聊天-Dcard,股票,2022-03-03 14:35:17,#標的 長榮(2603) 多 - 停利提醒,文藻外語大學/F,"3月15日法說會
股息多少錢就會出來了
個人覺得會漲到股利公布那天",https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-03,-1.0,0.0,0.0,0.0,0.0,法說會 股息 出來 覺得 漲到 股利 公布
