,id,p_type,s_name,s_area_name,post_time,title,author,content,page_url,content_type,date,label_day1,label_day2,label_day3,label_day4,label_day5
0,1646386721445_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-04 17:38:00,四維航 該不該忍痛殺出,紫微0726,原來如此,https://www.mobile01.com/topicdetail.php?p=14&f=291&t=3030947,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0
1,1646396120872_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-04 20:01:00,四維航 該不該忍痛殺出,mimiro5,"<BR>那時若是買台G電,現在是財富自由了",https://www.mobile01.com/topicdetail.php?p=14&f=291&t=3030947,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0
2,1646402679396_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-04 21:52:00,四維航 該不該忍痛殺出,jacky8000 .,能買在最低，賣在最高<BR>這不可能是人<BR>回去看最低點最高點沒意義吧我只相信<BR>人<BR>可以<BR>買在最高，賣在最低,https://www.mobile01.com/topicdetail.php?p=14&f=291&t=3030947,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0
3,1646711589363_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-08 11:51:00,"打仗對航運界算是利多,那這又是怎回事?",mimiro5,顔益財也透露，現在航商為了避開俄烏港口，紛紛更改航線、跳港，也造成航程延誤，進一步壓縮船舶供給，「整體來說，打仗對航運界算是利多。」在散裝船當中，又以專載民生物資、穀物、肥料的中小型船舶受惠最大，包括慧洋、台航、四維航等以中小型船為主的航商，都有望受惠。原址<BR>===============================,https://www.mobile01.com/topicdetail.php?f=291&t=6553490,main,2022-03-08,1.0,1.0,-1.0,1.0,1.0
4,1646713806027_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-08 12:06:00,"打仗對航運界算是利多,那這又是怎回事?",jack老大,漲多了 就是最大利空,https://www.mobile01.com/topicdetail.php?f=291&t=6553490,reply,2022-03-08,1.0,1.0,-1.0,1.0,1.0
5,1646720983723_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-08 14:14:00,"打仗對航運界算是利多,那這又是怎回事?",法詮,外資吃飽走人,https://www.mobile01.com/topicdetail.php?f=291&t=6553490,reply,2022-03-08,1.0,1.0,-1.0,1.0,1.0
6,1646722014491_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-08 14:46:00,"打仗對航運界算是利多,那這又是怎回事?",globalviewer,"未必一定利多阿, 比如說黑海目前是極具危險航行領域, 已有傳出貨船遭砲彈攻擊, 萬一戰事擴大, 當戰艦控制海域時, 航運界還是利多嗎?",https://www.mobile01.com/topicdetail.php?f=291&t=6553490,reply,2022-03-08,1.0,1.0,-1.0,1.0,1.0
7,1646722311029_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-08 14:49:00,"打仗對航運界算是利多,那這又是怎回事?",Kevin0905,還在看新聞消息買賣股票? 賠錢輸光剛剛好而已。,https://www.mobile01.com/topicdetail.php?f=291&t=6553490,reply,2022-03-08,1.0,1.0,-1.0,1.0,1.0
8,1646723334303_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-08 14:58:00,"打仗對航運界算是利多,那這又是怎回事?",erichuang801,融資使用率近20%，籌碼凌亂，一有反彈，一堆人解套的賣壓浮現；帶融資使用率降到10%吧，籌碼沉澱，像聯電。,https://www.mobile01.com/topicdetail.php?f=291&t=6553490,reply,2022-03-08,1.0,1.0,-1.0,1.0,1.0
9,1647306655128_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-15 09:00:00,該買陽明嗎？,qweqw,該買陽明嗎？感覺好像配的不錯各位推薦嗎？,https://www.mobile01.com/topicdetail.php?f=291&t=6557464,main,2022-03-15,0.0,1.0,0.0,-1.0,-1.0
10,1647307285279_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-15 09:19:00,該買陽明嗎？,mimiro5,<BR>想當陽明的股東嗎?,https://www.mobile01.com/topicdetail.php?f=291&t=6557464,reply,2022-03-15,0.0,1.0,0.0,-1.0,-1.0
11,1647307285303_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-15 09:20:00,該買陽明嗎？,ayz847,看媽媽怎麼說？,https://www.mobile01.com/topicdetail.php?f=291&t=6557464,reply,2022-03-15,0.0,1.0,0.0,-1.0,-1.0
12,1647308861949_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-15 09:36:00,該買陽明嗎？,jacky8000 .,你怎知除息後會填息<BR>搞不好配息後一直跌<BR>如果除息後價格加上19元左右都沒超過你成本<BR>或是你買，然後配息前先跌20元，再配20元，然後繼續跌<BR>只能在臉上寫一個慘字,https://www.mobile01.com/topicdetail.php?f=291&t=6557464,reply,2022-03-15,0.0,1.0,0.0,-1.0,-1.0
13,1647313290788_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-15 10:43:00,該買陽明嗎？,satck371,我昨天130上車<BR>理由是<BR>長榮已經突破<BR>上週阿呆賣掉<BR>所以改買剛突破130的陽明<BR>而且如果長榮不跌破150，多頭也還在<BR>陽明沒賺比較少，漲的慢應該也會跟上<BR>停損就設10%或者長榮跌回150以下<BR>配20元不好不壞也有15%殖利率(所以利多利空光看這還說不準)<BR>以上給大大參考PS.我小咖上2張而已,https://www.mobile01.com/topicdetail.php?f=291&t=6557464,reply,2022-03-15,0.0,1.0,0.0,-1.0,-1.0
14,1647319123224_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-15 12:31:00,長程輪美國擱淺！ 長榮：正在確認船體是否受損,mimiro5,長程輪美國擱淺！ 長榮：正在確認船體是否受損<BR>（中央社記者賴言曦台北2022年3月15日電）長榮海運旗下「長程輪」於美東時間13日晚間在美國華盛頓附近擱淺受困。長榮海運回應，目前沒有燃油外洩情形，公司正在安排潛水員進行水下檢查，確認船體是否受損。美東時間13日晚間8時，長榮海運 (2603) 一艘亞洲至美國東岸（AUE）航線的貨櫃船「長程輪」（Ever Forward），自美國巴爾的摩（Baltimore）出港時偏離航道擱淺。長榮海運回應，「長程輪」目前沒有燃油外洩的情形，長榮正在安排潛水員進行水下檢查，確認船體是否受損，並協調相關單位，儘速協助該輪脫困。長榮表示，這起事故不影響其他船隻出港作業，事發原因正由主管機關調查中。「長程輪」為1萬2000噸級的F型貨櫃輪，船體長度約334公尺，寬度為48.4公尺，可裝載12118 個20呎貨櫃。（編輯：張良知）<BR>原址<BR>========================<BR>所以要起漲了,https://www.mobile01.com/topicdetail.php?f=291&t=6557589,main,2022-03-15,0.0,1.0,0.0,-1.0,-1.0
15,1647321929415_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-15 13:24:00,長程輪美國擱淺！ 長榮：正在確認船體是否受損,RMIT.E.E.,進出港都是引水人指揮、文中完全沒提引水人問題？,https://www.mobile01.com/topicdetail.php?f=291&t=6557589,reply,2022-03-15,0.0,1.0,0.0,-1.0,-1.0
16,1647325776147_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-15 14:11:00,長程輪美國擱淺！ 長榮：正在確認船體是否受損,jacky8000 .,棒康者的錢包要起漲了,https://www.mobile01.com/topicdetail.php?f=291&t=6557589,reply,2022-03-15,0.0,1.0,0.0,-1.0,-1.0
17,1647338044544_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-15 17:50:00,宏遠就是準 去年9月 預估長榮359 又打臉各位了,jacky8000 .,投顧看好貨櫃三雄今年EPS逾35元 同步喊買但是他沒說能不能包含減資阿<BR>笑死,https://www.mobile01.com/topicdetail.php?f=291&t=6557826,main,2022-03-15,0.0,1.0,0.0,-1.0,-1.0
18,1647344797064_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-15 19:43:00,長榮意外宣布減資60% 股利加現金減資每股可領24元,mimiro5,長榮海運今天宣布史上首次現金減資！將減資新台幣317.6億元，減資幅度達60%，消除股數31.75億股，每股將退還股東現金6元。長榮董事會並決議發放現金股利18元，加上每股6元現金減資，股東每股可領取達24元現金。<BR>長榮海運今天宣布史上首次現金減資！將減資新台幣317.6億元，減資幅度達60%，消除股數31.75億股，每股將退還股東現金6元。長榮董事會並決議發放現金股利18元，加上每股6元現金減資，股東每股可領取達24元現金。（中央社資料照）<BR>長榮海運今天宣布史上首次現金減資！將減資新台幣317.6億元，減資幅度達60%，消除股數31.75億股，每股將退還股東現金6元。長榮董事會並決議發放現金股利18元，加上每股6元現金減資，股東每股可領取達24元現金。（中央社資料照）長榮海運今天在法人說明會後，赴台灣證券交易所召開重大訊息說明記者會，宣布並說明減資後實收資本額將調整至約211.64億元。長榮表示，2021年度營收及獲利均為歷年新高，稅後淨利約為2390億元，累積保留盈餘達2593億元，營運資金提升至1740億元，負債比率大幅降至41.52%，公司整體財務結構強健、現金流量充沛。展望2022年，長榮表示，前2月累計營收已達1121億元，較去年同期增加約93%，整體營運展望良好，本次減資不會影響未來各項投資計畫。<BR>原址<BR>======================<BR>所以會再上漲嗎?,https://www.mobile01.com/topicdetail.php?f=291&t=6557877,main,2022-03-15,0.0,1.0,0.0,-1.0,-1.0
19,1647347479745_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-15 20:10:00,長榮意外宣布減資60% 股利加現金減資每股可領24元,j傑j傑,應該會大飆漲,https://www.mobile01.com/topicdetail.php?f=291&t=6557877,reply,2022-03-15,0.0,1.0,0.0,-1.0,-1.0
20,1647347479889_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-15 20:17:00,長榮意外宣布減資60% 股利加現金減資每股可領24元,爬行的香菇,還有這招,https://www.mobile01.com/topicdetail.php?f=291&t=6557877,reply,2022-03-15,0.0,1.0,0.0,-1.0,-1.0
21,1647354698723_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-15 20:31:00,長榮意外宣布減資60% 股利加現金減資每股可領24元,me5888,為什麼減資才是重點,https://www.mobile01.com/topicdetail.php?f=291&t=6557877,reply,2022-03-15,0.0,1.0,0.0,-1.0,-1.0
22,1647354698803_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-15 22:10:00,長榮意外宣布減資60% 股利加現金減資每股可領24元,sunflower2251,看起來是有利炒作的.長榮減資60%! 國巨2.0正式啟動,https://www.mobile01.com/topicdetail.php?f=291&t=6557877,reply,2022-03-15,0.0,1.0,0.0,-1.0,-1.0
23,1647354698849_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-15 22:13:00,長榮意外宣布減資60% 股利加現金減資每股可領24元,yangwuu,2330也搞這招..台股不就噴得不要不要...,https://www.mobile01.com/topicdetail.php?f=291&t=6557877,reply,2022-03-15,0.0,1.0,0.0,-1.0,-1.0
24,1647394179154_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-16 09:25:00,該買陽明嗎？,jantyng,昨天你該去買台積電，今天開盤秒填息又多賺好幾元。,https://www.mobile01.com/topicdetail.php?f=291&t=6557464,reply,2022-03-16,1.0,0.0,-1.0,-1.0,-1.0
25,1647394893959_F01,forum,Mobile01 (收錄 2022/10/1 前資料),閒聊_投資與理財,2022-03-16 09:31:00,長榮的低配息會很慘,形而上1006,長榮配息不到50%<BR>投資者應該會很失望<BR>航運公司又不需要像台積電買昂貴設備<BR>學學中華電信吧台股去年獲利相當好<BR>如果高獲利採取低配息<BR>台股必然自毀長城,https://www.mobile01.com/topicdetail.php?f=291&t=6558103,main,2022-03-16,1.0,0.0,-1.0,-1.0,-1.0
