id,p_type,s_name,s_area_name,post_time,title,author,content,page_url
1646112967013_PTT02R,bbs,Ptt,Stock,2022-03-01 13:33:53.000,Re: [創作] 早上好台股 現在我有長榮海,nodnarb1027,"比兩個禮拜多花了兩天

辣個船可能會遲到

但是不會缺席

中午好台股

現在我有長榮海^_^

每10樓150P 發到100樓

有空發


-----
Sent from JPTT on my iPhone

",http://www.ptt.cc/bbs/Stock/M.1646112838.A.359.html
1646116531256_PTT02R,bbs,Ptt,Stock,2022-03-01 14:31:35.000,Re: [標的] 長榮 陽明 萬海 睏寶數錢多,GENIUUS,"
繼續睏寶數錢，停利點依然沒變

那位叫人船票換機票的分析師真是害

人不淺，各位水手們加油

--
",http://www.ptt.cc/bbs/Stock/M.1646116297.A.98F.html
1646117954935_PTT02R,bbs,Ptt,Stock,2022-03-01 14:55:12.000,Re: [標的] 航海王長榮麾下實習生報到 多,vikingman,"上次po文之後，有件事改變我的想法
對 就是烏俄戰爭
看起來短期不會結束，而且有擴大的可能
我還是先當個小七武海高歌離席好了
後面給四皇跟海軍去鬥
哈哈哈哈哈

https://i.imgur.com/kkLOmzC.jpg






--
",http://www.ptt.cc/bbs/Stock/M.1646117714.A.6A5.html
1646123649913_PTT02R,bbs,Ptt,Stock,2022-03-01 16:29:49.000,Re: [標的] 航海王長榮麾下實習生報到 多,c98765432c,"
小丑巴奇我想請教一下，當初停利設定215的目

標，為何會在短短一個月內有所改變提早出場？

請問是不是嗅到什麼風險？意思是俄烏戰爭大禮

包已經沒得領了嗎？

https://i.imgur.com/yamVEip.jpg

還是老船長又再次上船準備造成海難了？

https://i.imgur.com/fcMCeiS.jpg



--
",http://www.ptt.cc/bbs/Stock/M.1646123391.A.0A3.html
1646130767648_PTT02R,bbs,Ptt,Stock,2022-03-01 18:27:40.000,[新聞] 長榮經營權之爭 全面引爆,iamthebest08,"長榮經營權之爭 全面引爆

新聞來源:聯合新聞網 記者黃淑惠／台北報導

2022年3月1日 週二 上午6:32

長榮國際變天後，長榮（2603）集團經營權戰火持續引爆，將有三部曲。首先，長榮國際
即將召開新任董事會，大房弟弟派張國明、張國政有意更換長榮國際董事長柯麗卿職務；
另外，長榮國際也將改派長榮航空法人代表，有意推動長榮航空董事長換人做；第三就是
爭搶長榮海運。

長榮國際上周五（25日）召開股東臨時會，持有7%股權的二房李玉美（星宇航空董事長張
國煒之母）倒戈，與長榮大房弟弟派聯手拿下三董一監（應選五董二監），取得經營權。

後續，3月22日長榮國際董事任期屆滿，將會召開董事會，選任新董事長；依法，最遲在4
月6日前須召開，這次長榮國際新董事取得最高票的人為大哥張國華，將由張國華來召集
董事會。

隨著長榮國際董監任期屆滿，「弟弟派」在掌握多數董事席次優勢下，應會換掉長榮國際
的董事長柯麗卿及總經理戴錦銓，董事會將選新董事長。業界認為，誰接任長榮國際董事
長一職，將是兄弟戰和的第一觀察指標。

長榮航空方面，柯麗卿及總經理戴錦銓都是長榮國際派到長榮航空的法人代表，預期將同
步改派、補選新董事。據指出，弟弟派將推動「長榮航空董事長換人做做看」，且是主要
目標之一；其次，長期則因「結盟需求」，也要持續推動長榮航空與星宇航空的合作。

至於長榮航空，專家分析，這一屆要換掉長榮航空董事長林寶水應有難度，因為林寶水是
長榮海運派的法人代表，再者弟弟派尚未掌握長榮航空多數席次，短期內尚難實現，不過
，明年改選後就難說了。再者，林寶水在這疫情海嘯下，領軍長榮航空在逆境中突圍，對
公司立有戰功，陣前斬殺功臣恐引起軍心浮動，對股東也難以交代。

長榮國際持有長榮海運4.98%的持股，弟弟派針對海運，則以拿下巴拿馬長榮國際主導權
為第一目標。巴拿馬長榮國際公司分別由張國華、張國明、張國政及張國煒控制的雲杉公
司各持20%，以及尚在二審法院審理的張榮發遺產持股20%。若弟弟派再度成功整合，握有
長榮股權將劇增至16%，拿下經營權機會大增。

據指出，哥哥派為防範弟弟派分管海運及航空兩大事業體，已將目標退守鞏固長榮海運經
營權，特別洽詢控有新加坡等海外事業的關係人，增加長榮持股，以便在明年委託書大戰
中勝出。


https://tw.news.yahoo.com/%E9%95%B7%E6%A6%AE%E7%B6%93%E7%87%9F%E6%AC%8A%E4%B9%8B%E7%88%AD-%E5%85%A8%E9%9D%A2%E5%BC%95%E7%88%86-223247079.html


心得:

長榮航 要跟 星宇航 合作???

明年之後有可能嗎??? EVALUX

長榮海運睽違了好多月 重回150...

對折哥 現在有喊誰嗎????

--
",http://www.ptt.cc/bbs/Stock/M.1646130463.A.892.html
1646141836859_PTT02R,bbs,Ptt,Stock,2022-03-01 21:29:51.000,[標的] 長榮2603重返榮耀多,icehorng,"1. 標的：長榮

2. 分類：多

3. 分析/正文：

上週四就預告航運是反彈的領頭羊

尤其是長榮更是突破頸線
這個頸線是從去年7月高檔跌落

盤整也有半年 不可能還有大戶被套吧

由於跌落速度很快 沒什麼量
所以接下來就爬得很快
搭上殖利率行情

有機會挑戰歷史高點

4. 進退場機制：
停利233
停損10日線


--
抱歉 我不po單 怕被主力狙擊
",http://www.ptt.cc/bbs/Stock/M.1646141393.A.617.html
1646143989034_PTT02R,bbs,Ptt,Stock,2022-03-01 22:12:30.000,[新聞] 加州罰款68萬美元 萬海：對財務無重大影響,hvariables,"原文標題：

加州罰款68萬美元 萬海：對財務無重大影響

原文連結：

https://ec.ltn.com.tw/article/breakingnews/3845265

發布時間：

2022/03/01 20:30

原文內容：

加州罰款68萬美元 萬海：對財務無重大影響

2022/03/01 20:30

https://img.ltn.com.tw/Upload/business/page/800/2022/03/01/3845265_1.jpg
針對加州罰款68萬美元，萬海表示，對財務無重大影響。（萬海提供）

〔記者王憶紅／台北報導〕市場傳出，萬海公司船隻因減排問題經加州罰68萬美元一事，
萬海指出，USA（萬海孫公司）收到主管機關之處分書，罰款金額680750美元（包含罰款
340375美元、環保基金340375美元）、約台幣1910.86萬元，對萬海、萬海航運（USA）公
司的財務、業務均無重大影響。

萬海指出，今年交船的13000 TEU（20呎櫃）新造船舶皆已設計備岸電設備，並針對現有
船舶也將進行岸電設備升級來符合加州環保法規，日後將持續投入成本為環保盡一份心力
，如目前所有萬海船舶皆使用成本較高的低硫油來營運，以保護海洋環境。

心得/評論：

雖然自由時報報導萬海（2615）被罰680750美元對財務、業務均無重大影響，
不過萬海（2615）的股價還有多少成長潛力是個問題。

",http://www.ptt.cc/bbs/Stock/M.1646143968.A.B66.html
1646193796030_PTT02R,bbs,Ptt,Stock,2022-03-02 11:58:29.000,[新聞] 志信：公司董事長遭台北地方檢察署起訴,dash0804,"原文標題：志信：公司董事長遭台北地方檢察署起訴
                                      (請勿刪減原文標題)  
原文連結：https://reurl.cc/WkVp07
                                      (網址超過一行過長請用縮網址工具)
發布時間：2022/02/25 19:34
                                      (請以原文網頁/報紙之發布時間為準)


原文內容：
公開資訊觀測站重大訊息公告

(2611)志信公告本公司董事長遭台北地方檢察署起訴

1.法律事件之當事人:本公司董事長黃春發
2.法律事件之法院名稱或處分機關:臺灣台北地方檢察署
3.法律事件之相關文書案號:109年度偵字第15313號
4.事實發生日:111/02/25
5.發生原委(含爭訟標的):本公司董事長黃春發因涉嫌德安航空詐領民航局補助案，遭臺
灣台北地方檢察署檢察官起訴。
6.處理過程:本案件已進入司法程序，當事人已委任律師進行處理，一切靜候司法調查結
果。
7.對公司財務業務影響及預估影響金額:本公司財務狀況健全，營運資金充足，此案對本
公司財務調度及日常營運無影響。
8.因應措施及改善情形:無。
9.其他應敘明事項:無。


心得/評論：                             ※必需填寫滿30字，無意義者板規處分
志信董事長被起訴今天漲停板，難道是有甚麼貓膩？

BTW 228連假前 志信太飆被要求自結 自結開獎如下

志信自結1月虧損7277萬元，每股稅後 -0.42元

--
",http://www.ptt.cc/bbs/Stock/M.1646193512.A.51F.html
1646205539885_PTT02R,bbs,Ptt,Stock,2022-03-02 15:12:50.000,[標的] 2603 長榮 殖利率多,aloness,"-------------------------------------------------------------------------
1.發標的文未充實內文，多空理由不充實者，板規1-1-5或4-4處份
2.進退場機制若非長期投資，請輸入停損價，否則依板規1-1-6處份
3.請依格式輸入內容，未依格式者板規1-1-2砍文處份。

標題請使用以下格式：股號.市場碼+股名+分類 (市場碼：TW US HK CN JP KR...)
                 ex [標的] 2330.TW 台積電 長期不停損多
                 ex [標的] TSLA.US 特斯拉 馬斯克火星多

---------------------按ctrl+y 可刪除以上內容。----------------------------

1. 標的： 2603.TW 長榮     (例 2330.TW 台積電)

2. 分類：多

3. 分析/正文：

如果說挑選股票是玩橋牌的話
那長榮就是最不需要拿出來寫分析的A/K

這系列本來最不會寫到的是長榮
想說這題材不需要獻醜，版上高手如雲
自己惦惦買就好

但還是發生許多解套賣壓
也有亦步亦趨觀望者
還是小小分享一下

一、產業面

貨櫃運輸，想大家都很熟悉，不獻醜
如有新版友想認識長榮
請見航海王R大文章，有很清楚的說明

以下資料彙整至3/1

二、近期趨勢

日K圖
https://imgur.com/PYp2Fnp

週K圖
https://imgur.com/OQyZ115

近月放量交易
https://imgur.com/OLMsMVF

近月融資券
https://imgur.com/hNUTduA

先從週K圖講起
233的瘋狗流天花版跌下來後
走了兩個85 &110的 波底
支撐點建立在140上下
忽略2021年6月~7月的瘋狗流操作
整體還算是正向成長

日線圖則依最後一次起攻點133起算
於142整理後再出發，順利攻破瓶頸點147

147的概念是，從2021/7/26開始的買家
最長持有半年，全數解套

想想看，要是真有人套到現在
看到翻紅後，怎會不賣呢?
是故147以上才是最後的賣壓吸收區
在上攻160過程，陸續會出現解套獲利賣壓
也是最難拉的一段
甚至被賣壓拉回142也是可能的

此時需對照法人操作
起碼近一個月放量交易，都是偏向買方
而且還買超不少

融資券近一個月也沒有太大變化
就那個借券回補很多

短期之間注意三大法人操作
以及成交量的變化即可

三、近期事件

2/27 與高雄港合作開發第七貨櫃中心
     第一期預2022年6月交地長榮
2/16 宏遠評估長榮2022全年EPS68元
     給予目標價375元
2/10 元月營收月增8.84%
1/18 摩根大通上調長榮目標價294元
1/7  2021年12月營收創下522億元
     (歷史次高)
12/24長榮準點率降到13.4%
     為同業最低
12/9 交船 EVER ALP (2.4萬TEU)

順帶一提，長榮已連續4個月
營收超過500億，不簡單

四、財報面-營業活動檢查

1)資產負債表
不動產、現金、應收帳、存貨
合計佔整體資產75%

另外，業外投資約17%

2)EPS/ROE比較(對照組陽明萬海)

獲利與同業平均趨勢高度相關
沒有特別突出
但前幾年景氣不好也相對抗跌

3)資產效能

與同業相比，資產效能是最差
還輸陽明這家官股公司

4)資產負債比
資產負債比為1.95，相當好
負債總計0.42

記得2021年初，還有銀行拜託長榮
不要還太多債

5)現金水位及週轉天數

現金水位達6個月
應收帳週轉天數約40天為同業最高
但仍控制在2個月內，算正常

存貨週轉天數
因航運業的存貨主要就是燃油
同業最多也只有半個月週轉天數
在航運業這項可以忽略

6)推銷/管理/研發費用
推銷/營收比例都大於1，營運穩定

管理費用比例為同業最高
但近三年持續下修

研發費用，航運業不適用

7)營業活動評估

近三年現金流量表跟淨現金流入相符
營業活動正常

8)利息收支
利息支出達35.76億，相當高
應該是產業特性(使用權資產)所致

簡單說，營收維持高檔
現金流穩定，帳上現金豐沛


4. 進退場機制：(非長期投資者，必須有停損機制。討論、心得類免填)

這篇主要是寫給猶豫中的人看
最佳買點其實就是150以下

錯過了，追不追高就請自行拿捏了
也許等的到回檔，也說不定呢

攤開長榮歷年配息率
EPS負的跳過不說
配的出來，最低都有4成

以去年EPS預估40來看
保底都有16
對照目前股價，基本殖利率10%UP
然後只要記得一件事
法人領股息不用繳所得稅

至於後續會不會維持如此營收
法人大戶們在發股利前的購買力
就是最好的表態
我們小散戶，靜靜觀察即可

--
https://imgur.com/LeZEC7q
這是最後一次追買的
這波大概設定從142開始建倉
短期再漲也不會再追吧

",http://www.ptt.cc/bbs/Stock/M.1646205172.A.C12.html
1646209462596_PTT02R,bbs,Ptt,Stock,2022-03-02 16:20:52.000,[標的] 2630 長榮多,kingofsdtw,"標題請使用以下格式：股號.市場碼+股名+分類 (市場碼：TW US HK CN JP KR...)
ex [標的] 2330.TW 台積電 長期不停損多
ex [標的] TSLA.US 特斯拉 馬斯克火星多

1. 標的：      (例 2330.TW 台積電)
2603。長榮

2. 分類：多/空/討論/心得

多，利停250
3. 分析/正文：

https://i.imgur.com/jZ9xcIS.jpg
長榮是做國際路線
P/E  4.52 屌打股價EGLE 52.70 (usd)
2021比前年賺更多
合理股價應該至少超過291（52.70/5*28）


4. 進退場機制：(非長期投資者，必須有停損機制。討論、心得類免填)



利停250


--
",http://www.ptt.cc/bbs/Stock/M.1646209254.A.2B6.html
