stock_name,stock_symbol,open,high,low,close,volume,date
長榮航太,2645,91.9,94.7,89.5,89.5,8434,2023-03-14 00:00:00
長榮航太,2645,90.3,91.5,88.5,89.5,4004,2023-03-15 00:00:00
長榮航太,2645,88.6,88.7,84.1,84.7,3228,2023-03-16 00:00:00
長榮航太,2645,85.4,90.2,85.4,89.9,3584,2023-03-17 00:00:00
長榮航太,2645,89.1,91.4,88.1,90.8,2509,2023-03-20 00:00:00
長榮航太,2645,90.8,90.9,89.5,90.1,1760,2023-03-21 00:00:00
長榮航太,2645,91.5,92.4,90.1,90.9,2463,2023-03-22 00:00:00
長榮航太,2645,90.0,92.3,89.9,91.8,2062,2023-03-23 00:00:00
長榮航太,2645,91.4,91.7,90.5,90.6,1471,2023-03-24 00:00:00
長榮航太,2645,90.8,96.1,90.6,95.8,5164,2023-03-27 00:00:00
長榮航太,2645,95.4,95.8,91.9,95.7,4571,2023-03-28 00:00:00
長榮航太,2645,96.5,99.0,94.6,99.0,4123,2023-03-29 00:00:00
長榮航太,2645,98.0,99.6,97.2,98.8,3437,2023-03-30 00:00:00
長榮航太,2645,98.9,98.9,97.5,97.8,2141,2023-03-31 00:00:00
長榮航太,2645,98.0,103.5,96.7,103.5,4693,2023-04-06 00:00:00
長榮航太,2645,102.0,106.0,102.0,102.0,5304,2023-04-07 00:00:00
長榮航太,2645,102.0,103.0,97.9,99.2,2864,2023-04-10 00:00:00
長榮航太,2645,98.3,99.8,98.2,99.8,2410,2023-04-11 00:00:00
長榮航太,2645,100.5,104.0,99.9,103.0,4011,2023-04-12 00:00:00
長榮航太,2645,103.5,113.0,101.5,108.0,9201,2023-04-13 00:00:00
長榮航太,2645,106.5,112.0,106.0,111.5,7173,2023-04-14 00:00:00
長榮航太,2645,114.0,122.5,114.0,122.5,5635,2023-04-17 00:00:00
長榮航太,2645,123.0,128.0,116.5,121.0,11770,2023-04-18 00:00:00
長榮航太,2645,121.0,122.0,115.5,118.5,6089,2023-04-19 00:00:00
長榮航太,2645,117.5,118.5,109.0,111.0,6768,2023-04-20 00:00:00
長榮航太,2645,111.5,115.0,104.0,112.5,5944,2023-04-21 00:00:00
長榮航太,2645,110.0,113.5,108.0,113.0,2445,2023-04-24 00:00:00
長榮航太,2645,112.5,117.0,108.5,110.0,4774,2023-04-25 00:00:00
長榮航太,2645,110.0,110.0,105.5,109.0,2809,2023-04-26 00:00:00
長榮航太,2645,109.0,115.0,109.0,114.5,3719,2023-04-27 00:00:00
長榮航太,2645,115.0,116.5,113.0,114.5,3619,2023-04-28 00:00:00
