date,foreign_investor_surplus,investment_trust_surplus,dealer_surplus
2022-03-01 00:00:00,40895704,6247000,13420418
2022-03-02 00:00:00,-58004507,5013000,8992716
2022-03-03 00:00:00,45348028,3661000,25176165
2022-03-04 00:00:00,-865155,14308000,-5958158
2022-03-07 00:00:00,-62514759,2651000,-21795347
2022-03-08 00:00:00,35913182,-12975000,-35271433
2022-03-09 00:00:00,-43753208,-3323000,7678481
2022-03-10 00:00:00,-16234989,5609000,10867507
2022-03-11 00:00:00,5682657,3472000,3909787
2022-03-14 00:00:00,-2684954,4500000,6894018
2022-03-15 00:00:00,-43965196,16574000,-900672
2022-03-16 00:00:00,23129273,3556000,3662797
2022-03-17 00:00:00,46737706,2185000,24724298
2022-03-18 00:00:00,-50058253,-2212331,-2818463
2022-03-21 00:00:00,21058485,1028000,-4010460
2022-03-22 00:00:00,-37867176,-1482000,-12216348
2022-03-23 00:00:00,5091026,-472000,4012702
2022-03-24 00:00:00,-55484842,-2788000,-17924963
2022-03-25 00:00:00,-51595191,-9557000,-13832252
2022-03-28 00:00:00,12357081,-6294000,-786974
2022-03-29 00:00:00,-7299260,-910000,5958743
2022-03-30 00:00:00,18671786,1977000,-4007833
2022-03-31 00:00:00,10553419,2533000,-1614168
2022-04-01 00:00:00,26577000,1756000,3811084
2022-04-06 00:00:00,4346044,-1643000,2572397
2022-04-07 00:00:00,-48440201,2089000,-13177451
2022-04-08 00:00:00,90372050,2688000,845875
2022-04-11 00:00:00,-16911866,4281000,-4258703
2022-04-12 00:00:00,20049426,5826000,6840521
2022-04-13 00:00:00,121723133,53439000,4337755
2022-04-14 00:00:00,68772597,17281000,-2059296
2022-04-15 00:00:00,-7347531,12150000,2672731
2022-04-18 00:00:00,-48342047,5096000,-11784444
2022-04-19 00:00:00,122637499,14626000,-1636509
2022-04-20 00:00:00,39972810,16102000,518942
2022-04-21 00:00:00,106271873,18318000,7332540
2022-04-22 00:00:00,48468010,19466000,5179177
2022-04-25 00:00:00,-52254384,2140000,-5485154
2022-04-26 00:00:00,-55775433,-1793000,-14360148
2022-04-27 00:00:00,16580670,1000000,-9003728
2022-04-28 00:00:00,-48377626,1644000,-4817378
2022-04-29 00:00:00,108835932,3433000,7502706
2022-05-03 00:00:00,-15829744,9004000,543321
2022-05-04 00:00:00,34797648,5336000,6093324
2022-05-05 00:00:00,16455130,5262000,1447372
2022-05-06 00:00:00,3371265,7207000,6115820
2022-05-09 00:00:00,-45375211,1566000,-9535600
2022-05-10 00:00:00,2833191,-1269000,-3834090
2022-05-11 00:00:00,-57777111,-2217000,-6673402
2022-05-12 00:00:00,7290611,-27566000,-27018878
2022-05-13 00:00:00,12264952,-22475000,3068710
2022-05-16 00:00:00,994534,-16354000,-1841244
2022-05-17 00:00:00,-42135753,-14886000,-6108648
2022-05-18 00:00:00,19675875,-10556000,-3056681
2022-05-19 00:00:00,-6602922,-26971235,-3863985
2022-05-20 00:00:00,25002552,-6158000,-1219185
2022-05-23 00:00:00,69292150,1346573,14315594
2022-05-24 00:00:00,42671660,2777400,-6061012
2022-05-25 00:00:00,32588741,2180772,12876652
2022-05-26 00:00:00,9394934,2589349,-3342658
2022-05-27 00:00:00,21146279,3282554,374680
2022-05-30 00:00:00,21655424,-1700724,4837176
2022-05-31 00:00:00,-6874177,-5572626,-1011759
2022-06-01 00:00:00,19736520,-2452292,6052752
2022-06-02 00:00:00,33338246,-707520,8326148
2022-06-06 00:00:00,-25259385,649409,-2169536
2022-06-07 00:00:00,8635435,-1480935,-3680173
2022-06-08 00:00:00,2708204,-5625000,2681715
2022-06-09 00:00:00,-42942185,-7246000,-4261031
2022-06-10 00:00:00,-63665301,-19134000,-1921540
2022-06-13 00:00:00,-46307960,-10893778,-3478044
2022-06-14 00:00:00,-22662970,-12215000,7776917
2022-06-15 00:00:00,-56549030,-10858121,19517572
2022-06-16 00:00:00,-4515366,-6701000,-5788430
2022-06-17 00:00:00,-32485623,-53070204,-9319563
2022-06-20 00:00:00,36106748,-19970000,-4131543
2022-06-21 00:00:00,20135715,-10060000,24217480
2022-06-22 00:00:00,-3685989,-11401000,1461572
2022-06-23 00:00:00,-18391434,-27142000,19891978
2022-06-24 00:00:00,-20559885,2382182,28565693
2022-06-27 00:00:00,22459135,-27931000,6803771
2022-06-28 00:00:00,-26030456,-3966000,68715883
2022-06-29 00:00:00,-10881798,-9391000,-73741478
2022-06-30 00:00:00,-2488342,1373000,-6458322
2022-07-01 00:00:00,-19792205,1829000,-8477376
2022-07-04 00:00:00,26115390,4214000,9353432
2022-07-05 00:00:00,34227256,1391000,12546696
2022-07-06 00:00:00,-17567397,2545000,-15312064
2022-07-07 00:00:00,26387526,941000,4880882
2022-07-08 00:00:00,43084637,5054000,-5851987
2022-07-11 00:00:00,24347229,2194000,-1447717
2022-07-12 00:00:00,-21299475,5742000,-15254083
2022-07-13 00:00:00,72066593,3464000,15730158
2022-07-14 00:00:00,2466837,1070000,4057892
2022-07-15 00:00:00,-37722612,-2105000,-7158236
