stock_name,stock_symbol,foreign_investor_bought,foreign_investor_sold,investment_trust_bought,investment_trust_sold,dealer_bought,dealer_sold,date
台船,2208,2788000,736000,1000,0,31296,27000,2023-06-29 00:00:00
台船,2208,1462000,720000,3000,0,47908,7000,2023-06-28 00:00:00
台船,2208,465000,520000,0,0,37000,1947,2023-06-27 00:00:00
台船,2208,203101,312000,2000,0,15000,3853,2023-06-26 00:00:00
台船,2208,595000,228000,0,0,4000,82000,2023-06-21 00:00:00
台船,2208,532000,401000,2000,0,0,58033,2023-06-20 00:00:00
台船,2208,1595000,1649000,1000,0,41399,111087,2023-06-19 00:00:00
台船,2208,1283000,685000,0,0,49000,49010,2023-06-16 00:00:00
台船,2208,953000,921000,0,0,25000,2108,2023-06-15 00:00:00
台船,2208,407000,1600000,0,0,38095,11416,2023-06-14 00:00:00
台船,2208,440000,1341000,0,0,56000,17726,2023-06-13 00:00:00
台船,2208,545000,848000,0,0,39000,3102,2023-06-12 00:00:00
台船,2208,497000,940000,0,0,4000,1000,2023-06-09 00:00:00
台船,2208,1086000,609000,0,0,6001,68773,2023-06-08 00:00:00
台船,2208,960000,862000,0,0,9684,60000,2023-06-07 00:00:00
台船,2208,946000,861000,0,0,22001,0,2023-06-06 00:00:00
台船,2208,2544000,761000,0,0,3146,100000,2023-06-05 00:00:00
台船,2208,1019000,847000,3000,0,8000,0,2023-06-02 00:00:00
台船,2208,669000,660000,0,56000,18005,2684,2023-06-01 00:00:00
台船,2208,1081000,1377533,0,60000,96000,4640,2023-05-31 00:00:00
台船,2208,530000,953000,0,0,4088,11791,2023-05-30 00:00:00
台船,2208,1605000,513000,0,0,31937,11252,2023-05-29 00:00:00
台船,2208,1422000,1773000,0,0,189000,82155,2023-05-26 00:00:00
台船,2208,1774000,801000,0,1000,1240,133521,2023-05-25 00:00:00
台船,2208,2025000,1121000,0,0,113429,17000,2023-05-24 00:00:00
台船,2208,2027000,2009000,0,0,64254,6000,2023-05-23 00:00:00
台船,2208,3168000,2520000,0,0,30213,124000,2023-05-22 00:00:00
台船,2208,1505000,1091000,0,0,59577,7578,2023-05-19 00:00:00
台船,2208,2770000,1391439,0,0,111848,67000,2023-05-18 00:00:00
台船,2208,2652000,1218000,0,0,620476,55000,2023-05-17 00:00:00
台船,2208,2263000,1676000,0,11000,192168,3000,2023-05-16 00:00:00
台船,2208,1783000,3223000,0,0,108001,120903,2023-05-15 00:00:00
台船,2208,1601000,1853000,0,0,26002,1339,2023-05-12 00:00:00
台船,2208,3991000,3094000,0,0,34000,22591,2023-05-11 00:00:00
台船,2208,1740000,1864000,0,0,13273,26103,2023-05-10 00:00:00
台船,2208,2140000,1776000,0,0,18056,11935,2023-05-09 00:00:00
台船,2208,1170000,1148000,0,0,6101,32000,2023-05-08 00:00:00
台船,2208,2241000,1460000,0,0,18000,10435,2023-05-05 00:00:00
台船,2208,1227000,2746000,0,0,15000,208559,2023-05-04 00:00:00
台船,2208,1003065,3692000,0,1000,14000,97338,2023-05-03 00:00:00
台船,2208,2598380,2070000,0,0,1001,729,2023-05-02 00:00:00
台船,2208,2371626,2572000,0,0,182008,1864,2023-04-28 00:00:00
台船,2208,2048000,2839000,0,0,1001,5449,2023-04-27 00:00:00
台船,2208,1896001,2472000,0,0,103655,13178,2023-04-26 00:00:00
台船,2208,3997000,3473150,0,0,9179,22852,2023-04-25 00:00:00
台船,2208,2473000,2133000,0,0,56,60000,2023-04-24 00:00:00
台船,2208,4695000,4471000,0,0,106003,9248,2023-04-21 00:00:00
台船,2208,5001000,3562000,0,0,19075,7420,2023-04-20 00:00:00
台船,2208,3095000,5914000,0,0,86000,42389,2023-04-19 00:00:00
台船,2208,4827000,12095000,0,10000,250000,60043,2023-04-18 00:00:00
台船,2208,10922000,13155000,0,0,33376,41842,2023-04-17 00:00:00
台船,2208,11239402,20816200,0,0,23000,23971,2023-04-14 00:00:00
台船,2208,9031000,10871000,0,0,39505,14512,2023-04-13 00:00:00
台船,2208,11888000,2516000,0,0,16363,2226,2023-04-12 00:00:00
台船,2208,1891000,4616000,2000,0,5000,805,2023-04-11 00:00:00
台船,2208,11549000,3134000,0,0,2385,11000,2023-04-10 00:00:00
台船,2208,1148000,6616000,1000,0,7000,5355,2023-04-07 00:00:00
台船,2208,6332200,7843000,2000,0,1053,9817,2023-04-06 00:00:00
台船,2208,816000,730002,2000,0,3001,10000,2023-03-31 00:00:00
台船,2208,2213000,335000,0,0,568,13000,2023-03-30 00:00:00
台船,2208,1588000,1473000,2000,0,221,1000,2023-03-29 00:00:00
台船,2208,3090000,1288000,0,0,18998,36000,2023-03-28 00:00:00
台船,2208,3773000,1910600,1000,0,61689,3000,2023-03-27 00:00:00
台船,2208,1559000,816000,0,0,2,2000,2023-03-24 00:00:00
台船,2208,1220000,543000,4000,0,1,2000,2023-03-23 00:00:00
台船,2208,1027000,851000,0,0,3001,9000,2023-03-22 00:00:00
台船,2208,933000,631000,0,0,1001,120179,2023-03-21 00:00:00
台船,2208,539000,435000,0,0,2524,400,2023-03-20 00:00:00
台船,2208,924000,1028000,0,0,2001,27093,2023-03-17 00:00:00
台船,2208,1296000,822000,0,0,7000,19301,2023-03-16 00:00:00
台船,2208,381000,1130000,31000,0,11000,69514,2023-03-15 00:00:00
台船,2208,607000,536000,0,2000,13000,27319,2023-03-14 00:00:00
台船,2208,2467100,1617000,0,0,23430,18889,2023-03-13 00:00:00
台船,2208,867200,3547050,0,0,26000,25626,2023-03-10 00:00:00
台船,2208,788000,2576000,0,4000,13669,1000,2023-03-09 00:00:00
台船,2208,660000,2411000,12000,0,41100,1000,2023-03-08 00:00:00
台船,2208,374000,674000,9000,0,8216,6000,2023-03-07 00:00:00
台船,2208,877000,983000,0,0,60000,22094,2023-03-06 00:00:00
