stock_name,stock_symbol,period,gross_profit_margin,operating_profit_margin,net_profit_margin,return_on_equity,debt_ratio,interest_coverage,current_ratio,quick_ratio,accounts_turnover,inventory_turnover,eps,book_value_per_share,date
嘉里大榮,2608,Q,19.02,13.63,10.18,2.4,50.04,10.08,138.1,131.75,1.55,41.19,0.56,25.3,2023-03-01 00:00:00
嘉里大榮,2608,Q,18.87,13.82,11.1,2.94,50.84,13.06,112.13,107.63,1.66,39.57,0.68,24.71,2022-12-01 00:00:00
嘉里大榮,2608,Q,19.16,13.97,10.62,2.93,51.75,12.81,101.26,96.64,1.73,35.95,0.65,23.79,2022-09-01 00:00:00
嘉里大榮,2608,Q,17.45,12.3,11.21,3.11,52.75,14.43,92.52,87.78,1.75,43.03,0.7,23.15,2022-06-01 00:00:00
嘉里大榮,2608,Q,18.22,12.63,9.98,2.7,50.57,14.39,123.83,117.77,1.61,49.67,0.62,24.07,2022-03-01 00:00:00
嘉里大榮,2608,Y,18.42,13.18,10.73,11.53,50.84,13.62,112.13,107.63,6.13,176.43,2.66,24.71,2022-12-01 00:00:00
華航,2610,Q,12.18,4.28,3.27,1.91,74.82,3.47,94.34,78.22,3.87,0.0,0.22,11.9,2023-03-01 00:00:00
華航,2610,Q,3.83,-4.27,-2.3,-1.24,75.39,-0.7,97.99,80.62,3.39,0.0,-0.13,11.64,2022-12-01 00:00:00
華航,2610,Q,4.46,-0.89,-0.03,-0.02,74.53,0.78,106.3,87.42,3.18,0.0,0.02,11.6,2022-09-01 00:00:00
華航,2610,Q,7.32,2.61,0.93,0.44,73.95,1.66,115.13,97.01,3.29,0.0,0.07,11.9,2022-06-01 00:00:00
華航,2610,Q,14.77,9.74,7.55,3.58,71.88,7.28,153.79,133.02,3.1,0.0,0.52,12.86,2022-03-01 00:00:00
榮運,2607,Q,25.85,15.44,14.27,1.54,26.77,17.68,362.62,349.42,1.27,0.0,0.42,28.15,2023-03-01 00:00:00
榮運,2607,Q,23.59,13.86,15.21,1.91,29.08,12.07,379.15,371.06,1.33,0.0,0.52,27.69,2022-12-01 00:00:00
